# cut-cell cylinder wake: grid 93×32, D/H=0.25, Re_D=100, nu=2.500e-3, dt=2.081e-2
# cells: 33 solid, 32 cut; fluid area 2.9509; merge floor 0.25
# sensor-fed top wall: U≈1 (1σ 0.03), dropout every 50 steps (40 total)
step,t,kinetic_energy,max_speed,div_residual,v_probe
1880,39.12591,2.409002e2,9.999511e-1,3.253e-15,2.710051e-2
1890,39.33403,2.409858e2,1.000121e0,3.282e-15,2.708815e-2
1900,39.54214,2.410439e2,1.000087e0,3.241e-15,2.707580e-2
1910,39.75026,2.411144e2,1.000200e0,3.243e-15,2.706345e-2
1920,39.95838,2.411864e2,1.000326e0,3.259e-15,2.705111e-2
1930,40.16649,2.411843e2,9.996674e-1,3.201e-15,2.703879e-2
1940,40.37461,2.412730e2,1.000052e0,3.264e-15,2.702649e-2
1950,40.58273,2.412993e2,9.997890e-1,3.132e-15,2.701424e-2
1960,40.79084,2.413702e2,9.999198e-1,3.178e-15,2.700204e-2
1970,40.99896,2.414528e2,1.000265e0,3.227e-15,2.698991e-2
1980,41.20708,2.414701e2,9.998545e-1,3.139e-15,2.697786e-2
1990,41.41519,2.415570e2,1.000258e0,3.230e-15,2.696589e-2
2000,41.62331,2.415537e2,9.996934e-1,3.243e-15,2.695398e-2
# EffectLog: 80 entries recorded (40 dropouts × (fallback + intervention))
# Strouhal: no clear shedding detected in the developed signal
# wrote 2000 wake-probe samples to cylinder_wake.csv
  [PASS] [tripwire] incompressibility held: max divergence residual 3.334e-15 vs 1e-6
  [PASS] [tripwire] dropout/intervention log accounting exact: 80 entries vs expected 80 (fallback + intervention per dropout, 40 dropouts)
