step,t,max_speed,interior_div,v_probe
3760,94.0000,1.58063e0,9.75e-13,-6.873964e-3
3780,94.5000,1.58063e0,9.47e-13,-6.873963e-3
3800,95.0000,1.58063e0,9.04e-13,-6.873963e-3
3820,95.5000,1.58063e0,9.90e-13,-6.873962e-3
3840,96.0000,1.58063e0,9.52e-13,-6.873963e-3
3860,96.5000,1.58063e0,8.30e-13,-6.873963e-3
3880,97.0000,1.58063e0,9.73e-13,-6.873963e-3
3900,97.5000,1.58063e0,1.00e-12,-6.873962e-3
3920,98.0000,1.58063e0,1.05e-12,-6.873962e-3
3940,98.5000,1.58063e0,9.50e-13,-6.873961e-3
3960,99.0000,1.58063e0,1.21e-12,-6.873961e-3
3980,99.5000,1.58063e0,1.10e-12,-6.873961e-3
4000,100.0000,1.58063e0,1.00e-12,-6.873961e-3
